SPX,,,,,,VIX,,,,
Date, Open, High, Low, Close,,Date, Open, High, Low, Close
5/15/2026,7445.11,7454.85,7397.5,7408.5,,5/15/2026,18.07,19.27,17.8,18.43
5/14/2026,7454.4,7517.12,7454.4,7501.24,,5/14/2026,17.86,18.08,17.2,17.26
5/13/2026,7409.12,7460.04,7375.13,7444.25,,5/13/2026,17.98,18.4,17.76,17.87
5/12/2026,7390.63,7409.57,7338.54,7400.96,,5/12/2026,18.77,19.1,17.92,17.99
5/11/2026,7385.31,7428.97,7384.2,7412.84,,5/11/2026,18.21,18.47,17.9,18.38
5/8/2026,7362.97,7401.5,7362.97,7398.93,,5/8/2026,17.37,17.53,16.82,17.19
5/7/2026,7376.78,7385.02,7321.25,7337.11,,5/7/2026,17.53,17.6,16.85,17.08
5/6/2026,7294.14,7369.22,7294.14,7365.12,,5/6/2026,17.15,17.46,16.18,17.39
5/5/2026,7233.62,7273.26,7233.62,7259.22,,5/5/2026,17.95,18.02,17.2,17.38
5/4/2026,7228.38,7244.54,7174.12,7200.75,,5/4/2026,17.38,19.08,17.15,18.29
5/1/2026,7234.54,7272.52,7229.32,7230.12,,5/1/2026,17.01,17.39,16.44,16.99
4/30/2026,7161.75,7219.83,7126.15,7209.01,,4/30/2026,18.68,18.73,16.87,16.89
4/29/2026,7131.61,7145.63,7107.86,7135.95,,4/29/2026,17.83,19,17.81,18.81
4/28/2026,7133.74,7152.52,7115.17,7138.8,,4/28/2026,18.3,19.43,17.78,17.83
4/27/2026,7152.72,7178.74,7146.72,7173.91,,4/27/2026,19.21,19.27,18.02,18.02
4/24/2026,7136.48,7168.59,7112.82,7165.08,,4/24/2026,18.89,19.35,18.46,18.71
4/23/2026,7118.8,7147.78,7046.55,7108.4,,4/23/2026,19.42,21.56,18.7,19.31
4/22/2026,7102.91,7138.64,7102.91,7137.9,,4/22/2026,19.03,19.54,18.68,18.92
4/21/2026,7122.64,7137.27,7050.2,7064.01,,4/21/2026,19.18,20.85,18.75,19.5
4/20/2026,7117.05,7122.65,7084.41,7109.14,,4/20/2026,19.58,19.99,18.77,18.87
4/17/2026,7074.55,7147.52,7074.55,7126.06,,4/17/2026,18.18,18.24,16.87,17.48
4/16/2026,7037.78,7051.23,7008.52,7041.28,,4/16/2026,18.04,19.09,17.76,17.94
4/15/2026,6978.17,7026.24,6967.13,7022.95,,4/15/2026,18.18,18.5,17.4,18.17
4/14/2026,6910.2,6969.42,6905.17,6967.38,,4/14/2026,18.73,18.76,17.89,18.36
4/13/2026,6806.47,6887,6790.02,6886.24,,4/13/2026,21.17,21.58,18.96,19.12
4/10/2026,6839.24,6845.77,6808.46,6816.89,,4/10/2026,19.71,20.28,18.83,19.23
4/9/2026,6783.69,6835.31,6761.55,6824.66,,4/9/2026,21.25,21.63,19.45,19.49
4/8/2026,6754.36,6793.5,6740.28,6782.81,,4/8/2026,20.97,22.17,19.91,21.04
4/7/2026,6601.93,6618.26,6534.55,6616.85,,4/7/2026,25.09,28,24.34,25.78
4/6/2026,6587.66,6618.13,6579.72,6611.83,,4/6/2026,24.93,25.3,23.78,24.17
,,,,,,4/3/2026,26.78,27.89,23.87,23.87
4/2/2026,6512.61,6601.91,6474.94,6582.69,,4/2/2026,26.78,27.89,23.87,23.87
4/1/2026,6556.56,6609.67,6554.29,6575.32,,4/1/2026,24.3,25.35,23.5,24.54
3/31/2026,6395.88,6539.05,6395.88,6528.52,,3/31/2026,29.53,29.64,25.08,25.25
3/30/2026,6403.37,6427.31,6316.91,6343.72,,3/30/2026,30.79,31.52,29.33,30.61
3/27/2026,6453.89,6453.89,6356.08,6368.85,,3/27/2026,27.54,31.65,27.54,31.05
3/26/2026,6555.86,6573.22,6473.79,6477.16,,3/26/2026,26.49,28.49,26.12,27.44
3/25/2026,6598.35,6633.94,6568.41,6591.9,,3/25/2026,25.79,26.67,24.82,25.33
3/24/2026,6552.09,6595.75,6525.11,6556.37,,3/24/2026,25.91,27.94,25.64,26.95
